HK/   AAT og VLT:
Raw weights
                                                                                
8182 data points:
0001-5169  (5169 data points)   AAT/UCLES i Australien
5179-8182  (3013 data points)   VLT/UVES (ESO) i Chile
                                                                                
    Time (sec)    Data(m/s)    sigma(m/s)
-------------------------------------------
      352206.     0.614600      1.63972
      352225.     -2.29844      1.58832
      352244.     -2.28875      1.63028
      352263.     -1.43632      1.62685
      352281.     -1.75417      1.78572
      352298.      1.03234      1.72823
      352317.      2.01493      1.68182
      352337.      1.31642      1.68705
      352355.      4.43693      1.77309
      352374.     -2.49982      1.77162
      352393.      1.09202      1.67400
      352412.     0.690690      1.68456
      352430.     -3.00262      1.80704
      352449.     0.458760      1.92943
      352470.     -1.60652      1.61392
      352492.     -3.40952      1.71424
      352509.    -0.966000      1.67517
      352529.     -2.57182      1.65635
      352550.      2.52384      2.03381
      352569.     0.512230      1.89877
      352588.     -2.72486      2.07171
      352607.    -0.470530      1.85129
      352626.     0.477320      2.21711
      352647.    -0.960310      1.75816
      352667.      1.79114      1.86446
      352689.     -1.86739      1.59265
      352710.     0.130920      2.15925
      352729.      1.41999      2.07427
      352747.      1.19570      2.06123
      352764.    -0.103920      1.77692
      352782.      1.64845      1.88868
      352801.      2.69243      2.23752
      352820.     -2.21429      1.71210
      352839.     -1.75141      1.78647
      352860.     -1.35343      1.70957
      352882.     -2.28511      1.75147
      352901.     -2.42727      1.55310
      352921.    -0.748970      1.54669
      352940.     0.538260      1.55523
      352959.     -2.54188      1.95800
      352978.    -0.907260      1.73597
      352999.     -1.48336      1.70264
      353022.    -0.815110      1.76253
      353042.     -4.01167      1.61722
      353061.     -2.38760      1.53389
      353081.      1.57215      1.63562
      353101.    -0.667420      1.67979
      353121.      1.68683      1.77782
      353142.     -1.53282      1.75008
      353161.    -0.551790      1.58212
      353182.    -0.455220      1.74631
      353201.     -2.00455      1.62150
      353224.    -0.760660      1.56368
      353243.     -1.34554      1.47717
      353263.      1.06262      1.54268
      353283.      1.72305      1.85339
      353302.     0.737760      1.81076
      353324.     -3.73064      1.36802
      353345.     -2.14283      1.71415
      353364.     -2.25874      1.70479
      353384.     -1.80588      1.53709
      353403.     -3.64192      1.36631
      353423.     -1.03452      1.60319
      353443.      1.26655      1.77356
      353464.     -2.15299      1.58689
      353484.     0.693200      1.36929
      353504.     -1.55971      1.56514
      353524.     0.890550      1.57872
      353543.      1.23618      1.76898
      353565.    -0.865830      1.45951
      353584.    -0.612170      1.81309
      353604.      2.32822      1.62963
      353624.      4.31449      1.62383
      353644.      1.46400      1.59663
      353663.     0.958180      1.82738
      353683.      2.36831      1.64049
      353705.    -0.460340      1.47110
      353724.     -1.76483      1.57550
      354098.     0.731430      1.60059
      354117.      1.30291      1.74166
      354137.     0.902420      1.57839
      354158.     0.184420      1.61375
      354177.      1.42222      1.70286
      354196.      4.41451      1.83074
      354217.      1.48954      1.77395
      354237.    -0.562350      1.60659
      354257.    -0.860980      1.69086
      354277.     0.716540      1.52143
      354296.     -4.13411      1.67903
      354315.     -2.14099      1.85789
      354337.     -2.39101      1.72409
      354357.     -2.23063      1.61255
      354377.     -1.28689      1.68119
      354397.      1.67251      1.68028
      354416.     0.105060      1.66354
      354436.      3.33657      1.90902
